Wellenlänge 1	Intensität 1	Wellenlänge 2	Intensität 2
3.214651794e+02	1.556150150e-03	3.214895935e+02	1.515933871e-02
3.215724487e+02	4.511715844e-03	3.215973206e+02	-6.230076775e-03
3.216797485e+02	-1.005500089e-02	3.217050476e+02	2.785756486e-03
3.217870483e+02	5.145051517e-03	3.218128052e+02	3.549133986e-02
3.218943481e+02	2.404915728e-02	3.219205627e+02	2.736596018e-02
3.220016785e+02	1.514407620e-02	3.220283203e+02	2.061336115e-02
3.221089783e+02	-6.696403492e-03	3.221360779e+02	3.639106872e-03
3.222163086e+02	-1.034288108e-02	3.222438354e+02	3.669716418e-02
3.223236389e+02	1.309053320e-02	3.223516235e+02	3.716094047e-02
3.224309692e+02	1.186224632e-02	3.224594116e+02	8.740658872e-03
3.225383301e+02	8.580416441e-03	3.225671997e+02	4.668693000e-04
3.226456909e+02	-5.597662312e-05	3.226750183e+02	3.157705814e-02
3.227530518e+02	-2.685278654e-03	3.227828064e+02	3.959113359e-02
3.228604126e+02	1.476023626e-02	3.228906250e+02	-1.049682964e-02
3.229677734e+02	-1.005500089e-02	3.229984436e+02	2.628072107e-04
3.230751648e+02	4.516034201e-02	3.231062622e+02	3.382174298e-02
3.231825256e+02	2.957165008e-03	3.232141113e+02	1.297030877e-02
3.232899170e+02	-8.980249986e-03	3.233219299e+02	2.785756486e-03
3.233973389e+02	-8.634794503e-03	3.234297791e+02	-7.751266938e-03
3.235047302e+02	4.089492373e-03	3.235376282e+02	1.213550940e-02
3.236121521e+02	-9.210553952e-03	3.236455078e+02	3.575105593e-02
3.237195740e+02	7.448089775e-03	3.237533569e+02	-5.246868823e-03
3.238269958e+02	-3.606493818e-03	3.238612366e+02	-3.224799177e-03
3.239344177e+02	5.855154712e-03	3.239691162e+02	1.363814808e-02
3.240418701e+02	1.728878007e-03	3.240769958e+02	2.009393089e-02
3.241492920e+02	2.419789555e-03	3.241848755e+02	-5.951810628e-03
3.242567444e+02	-9.882273152e-03	3.242927856e+02	1.029895060e-02
3.243641968e+02	-2.762046643e-03	3.244006958e+02	9.334294125e-03
3.244716797e+02	2.046025544e-02	3.245086060e+02	1.400917023e-02
3.245791321e+02	5.010707304e-03	3.246165161e+02	1.946319267e-02
3.246866150e+02	-1.475703716e-02	3.247244263e+02	1.198710036e-02
3.247940979e+02	3.110700985e-03	3.248323669e+02	1.816461608e-02
3.249016113e+02	1.535518747e-02	3.249403076e+02	3.025993146e-02
3.250090942e+02	-1.429643016e-02	3.250482483e+02	4.139986355e-03
3.251166077e+02	-6.005492061e-03	3.251561890e+02	2.758857422e-02
3.252241211e+02	7.884707302e-04	3.252641602e+02	4.079695418e-02
3.253316345e+02	2.241783775e-02	3.253721313e+02	2.128120139e-02
3.254391479e+02	-6.485291757e-03	3.254801025e+02	1.415757928e-02
3.255466919e+02	1.111375913e-02	3.255880737e+02	-7.083427161e-03
3.256542358e+02	-4.590083263e-04	3.256960449e+02	2.031654306e-02
3.257617798e+02	7.884707302e-04	3.258040466e+02	-8.966364112e-05
3.258693237e+02	-8.097418584e-03	3.259120483e+02	-1.240759250e-02
3.259768677e+02	3.916764166e-03	3.260200500e+02	-9.439417161e-03
3.260844421e+02	1.440998283e-03	3.261280518e+02	6.570180412e-03
3.261920166e+02	7.198594045e-03	3.262360535e+02	1.026184857e-02
3.262995911e+02	-1.556310058e-02	3.263440857e+02	-4.393518437e-03
3.264071655e+02	-1.111535821e-03	3.264521179e+02	3.472147044e-03
3.265147705e+02	1.846428961e-02	3.265601501e+02	1.950029470e-02
3.266223450e+02	1.527841948e-02	3.266681824e+02	2.217165381e-02
3.267299500e+02	-1.001661737e-02	3.267762451e+02	1.143984337e-04
3.268375549e+02	-1.994367223e-03	3.268843079e+02	1.740402170e-02
