Wellenlänge 1	Intensität 1	Wellenlänge 2	Intensität 2
3.214651794e+02	-5.494886544e-03	3.214895935e+02	2.896919847e-03
3.215724487e+02	-3.369026119e-03	3.215973206e+02	4.836180247e-03
3.216797485e+02	-5.180628970e-03	3.217050476e+02	5.464644637e-03
3.217870483e+02	8.739134297e-03	3.218128052e+02	9.684331715e-03
3.218943481e+02	6.391444709e-03	3.219205627e+02	6.272669416e-03
3.220016785e+02	1.214050967e-02	3.220283203e+02	-1.412547776e-03
3.221089783e+02	1.307866187e-03	3.221360779e+02	7.062738761e-03
3.222163086e+02	7.907275110e-03	3.222438354e+02	1.783640869e-02
3.223236389e+02	5.633529276e-03	3.223516235e+02	3.507427871e-03
3.224309692e+02	1.049065730e-03	3.224594116e+02	9.397033602e-03
3.225383301e+02	5.652015097e-03	3.225671997e+02	6.470186636e-03
3.226456909e+02	-6.825859658e-03	3.226750183e+02	7.350036409e-03
3.227530518e+02	-4.108455963e-03	3.227828064e+02	5.123478360e-03
3.228604126e+02	7.019959856e-03	3.228906250e+02	-1.089337631e-03
3.229677734e+02	1.159980195e-03	3.229984436e+02	7.816895843e-03
3.230751648e+02	8.572761901e-03	3.231062622e+02	9.935717098e-04
3.231825256e+02	2.195181791e-03	3.232141113e+02	4.746399820e-03
3.232899170e+02	-4.884856753e-03	3.233219299e+02	7.242299616e-03
3.233973389e+02	2.911504125e-04	3.234297791e+02	3.579252400e-03
3.235047302e+02	3.858898301e-03	3.235376282e+02	1.675904146e-03
3.236121521e+02	2.213667380e-03	3.236455078e+02	1.018710248e-02
3.237195740e+02	7.167845964e-03	3.237533569e+02	3.399691079e-03
3.238269958e+02	1.075407956e-02	3.238612366e+02	8.930174634e-03
3.239344177e+02	5.615043920e-03	3.239691162e+02	2.178675262e-03
3.240418701e+02	1.010707859e-02	3.240769958e+02	7.242299616e-03
3.241492920e+02	2.417010488e-03	3.241848755e+02	3.435603343e-03
3.242567444e+02	1.862438396e-03	3.242927856e+02	6.254713517e-03
3.243641968e+02	5.171386059e-03	3.244006958e+02	3.830638016e-04
3.244716797e+02	6.132644601e-03	3.245086060e+02	5.644205492e-03
3.245791321e+02	5.684365169e-04	3.246165161e+02	1.198271383e-02
3.246866150e+02	-2.093510004e-03	3.247244263e+02	4.405233543e-03
3.247940979e+02	-8.364797686e-04	3.248323669e+02	4.477058072e-03
3.249016113e+02	6.978366873e-04	3.249403076e+02	-1.987143420e-03
3.250090942e+02	-4.663028289e-03	3.250482483e+02	1.316781854e-04
3.251166077e+02	4.635299556e-03	3.251561890e+02	6.703616586e-03
3.252241211e+02	7.482103538e-03	3.252641602e+02	7.565509994e-03
3.253316345e+02	-1.575909439e-03	3.253721313e+02	-7.840836770e-04
3.254391479e+02	9.381513228e-04	3.254801025e+02	5.428732373e-03
3.255466919e+02	1.086499356e-02	3.255880737e+02	-1.197074307e-03
3.256542358e+02	4.191641696e-03	3.256960449e+02	9.414989501e-03
3.257617798e+02	2.195181791e-03	3.258040466e+02	3.256042255e-03
3.258693237e+02	4.228613339e-03	3.259120483e+02	-4.375306889e-03
3.259768677e+02	6.446902175e-03	3.260200500e+02	1.262913458e-03
3.260844421e+02	1.677580993e-03	3.261280518e+02	3.381734947e-03
3.261920166e+02	6.299016066e-03	3.262360535e+02	2.448017010e-03
3.262995911e+02	-5.236085970e-03	3.263440857e+02	2.250499791e-03
3.264071655e+02	3.563126549e-03	3.264521179e+02	2.088894835e-03
3.265147705e+02	9.312191978e-03	3.265601501e+02	3.669032827e-03
3.266223450e+02	5.522614811e-03	3.266681824e+02	4.728443455e-03
3.267299500e+02	6.423795130e-04	3.267762451e+02	5.644205492e-03
3.268375549e+02	2.897639759e-03	3.268843079e+02	5.051653832e-03
3.269451904e+02	6.077187136e-03	3.269923706e+02	9.935717098e-03
3.270527954e+02	3.729498247e-03	3.271004333e+02	6.542011164e-03
3.271604309e+02	1.147502381e-02	3.272084961e+02	5.769898184e-03
3.272680664e+02	3.581612138e-03	3.273165894e+02	6.775440648e-03
3.273757324e+02	-3.373647633e-04	3.274246826e+02	-1.179118291e-03
3.274833679e+02	5.892329849e-03	3.275327759e+02	2.035026439e-03
3.275910339e+02	3.692526603e-03	3.276408691e+02	4.387277644e-03
3.276987000e+02	6.793509820e-04	3.277489624e+02	1.675904146e-03
3.278063660e+02	-1.155358768e-04	3.278570862e+02	2.896919847e-03
3.279140320e+02	-1.464994974e-03	3.279652100e+02	1.410153601e-02
3.280217285e+02	1.049527898e-02	3.280733337e+02	5.267126951e-03
3.281293945e+02	1.215437427e-03	3.281814575e+02	9.756155778e-04
3.282370911e+02	-4.441199359e-03	3.282896118e+02	5.985371768e-03
3.283447876e+02	-1.021337113e-03	3.283977661e+02	4.764355719e-03
3.284525146e+02	-5.776793696e-04	3.285059204e+02	2.106850967e-03
3.285602112e+02	5.966272671e-03	3.286140747e+02	6.865221541e-03
3.286679382e+02	3.027040046e-03	3.287222290e+02	4.477058072e-03
3.287756653e+02	1.441425644e-02	3.288304138e+02	1.219818741e-02
3.288834229e+02	7.149360143e-03	3.289385986e+02	7.493685465e-03
3.289911499e+02	3.544640727e-03	3.290467834e+02	5.554425064e-03
3.290989075e+02	-8.919370011e-04	3.291549683e+02	4.728443455e-03
3.292066650e+02	6.835102569e-03	3.292631531e+02	1.801596954e-03
3.293144226e+02	3.650933795e-04	3.293713684e+02	5.338951480e-03
3.294221802e+02	1.215437427e-03	3.294795837e+02	7.906676270e-03
3.295299683e+02	2.657325240e-03	3.295877991e+02	-1.268898835e-03
3.296377258e+02	1.825466868e-03	3.296960144e+02	4.477058072e-03
3.297455139e+02	5.060471594e-03	3.298042603e+02	4.243628588e-03
3.298533325e+02	1.548180822e-03	3.299124756e+02	1.963201910e-03
3.299611206e+02	1.241779607e-02	3.300207214e+02	7.547553629e-03
3.300689392e+02	4.727728199e-03	3.301289673e+02	1.352694002e-03
3.301767273e+02	6.520844996e-03	3.302372437e+02	4.836180247e-03
3.302845459e+02	1.219596714e-02	3.303454895e+02	7.601422258e-04
3.303923950e+02	6.793509820e-04	3.304537659e+02	2.573709935e-03
3.305002136e+02	-7.255653036e-04	3.305620422e+02	2.106850967e-03
3.306080627e+02	1.219596714e-02	3.306703186e+02	3.471515607e-03
3.307159119e+02	3.988298588e-03	3.307786255e+02	5.967415404e-03
3.308237610e+02	7.944246754e-03	3.308869019e+02	5.087566096e-04
3.309316101e+02	5.263814703e-03	3.309952087e+02	4.387277644e-03
3.310394897e+02	7.574532181e-03	3.311035156e+02	2.681446495e-03
3.311473694e+02	8.826940903e-04	3.312118530e+02	-3.351808118e-04
3.312552185e+02	1.034739334e-02	3.313201599e+02	5.015741568e-03
3.313631287e+02	1.511209295e-03	3.314284973e+02	9.827980772e-03
3.314710083e+02	2.823696937e-03	3.315368347e+02	6.488143001e-03
3.315789185e+02	7.112388499e-03	3.316451721e+02	2.825095551e-03
3.316868286e+02	3.415240673e-03	3.317535095e+02	1.359876432e-02
3.317947388e+02	7.611503825e-03	3.318618774e+02	3.148305463e-03
3.319026489e+02	6.946017034e-03	3.319702148e+02	1.496342884e-04
3.320105591e+02	1.381809125e-03	3.320785828e+02	1.015119068e-02
3.321184998e+02	9.071877226e-03	3.321869507e+02	9.558638558e-03
3.322264404e+02	3.470697906e-03	3.322953491e+02	5.428732373e-03
3.323343811e+02	6.317501888e-03	3.324037170e+02	9.540682659e-03
3.324423218e+02	1.548180822e-03	3.325121155e+02	1.113877725e-02
3.325502930e+02	1.130865142e-02	3.326205139e+02	7.134563290e-03
3.326582642e+02	5.596558098e-03	3.327289124e+02	1.589714736e-02
3.327662048e+02	8.369418792e-03	3.328373413e+02	5.123478360e-03
3.328742065e+02	1.289380365e-03	3.329457703e+02	3.830638016e-03
3.329821777e+02	5.448671989e-03	3.330541687e+02	2.896919847e-03
3.330901794e+02	1.238082442e-02	3.331625977e+02	5.554425064e-03
3.331981506e+02	5.869222805e-04	3.332710571e+02	8.211930282e-03
3.333061523e+02	8.184561506e-03	3.333794861e+02	2.699402627e-03
3.334141846e+02	5.744443741e-03	3.334879456e+02	1.162359212e-02
3.335221863e+02	6.909045391e-03	3.335964050e+02	3.076481167e-03
3.336302185e+02	-2.634217963e-04	3.337048645e+02	1.729772426e-03
3.337382507e+02	6.853588391e-03	3.338133240e+02	6.380406208e-03
3.338462830e+02	7.038445678e-03	3.339218140e+02	8.337622508e-03
3.339543152e+02	6.206587423e-03	3.340303040e+02	1.639991812e-02
3.340623779e+02	3.650933795e-04	3.341387939e+02	5.159390625e-03
3.341704102e+02	8.868534118e-03	3.342472839e+02	8.283754811e-03
3.342784729e+02	2.084267326e-03	3.343557739e+02	5.805810448e-03
3.343865356e+02	5.129792844e-04	3.344642944e+02	7.852807641e-03
3.344946289e+02	-2.869911259e-03	3.345728149e+02	7.529597729e-03
3.346026917e+02	4.173155874e-03	3.346813354e+02	8.140105754e-03
3.347107849e+02	-5.222221953e-04	3.347898560e+02	-8.379520295e-05
3.348188782e+02	7.038445678e-03	3.348983765e+02	5.338951480e-03
3.349269714e+02	-3.036282957e-03	3.350069275e+02	9.576595039e-04
3.350350952e+02	8.184561506e-03	3.351154785e+02	7.996456698e-03
3.351431885e+02	5.097442772e-03	3.352240295e+02	5.033697467e-03
3.352513123e+02	3.466076450e-04	3.353325806e+02	1.223410014e-02
3.353594360e+02	1.049065730e-03	3.354411621e+02	-3.172246972e-03
3.354675598e+02	7.463617716e-03	3.355497131e+02	1.101308386e-03
3.355757141e+02	4.358013161e-03	3.356582947e+02	1.388606266e-03
3.356838379e+02	1.751523931e-03	3.357668762e+02	-1.699845539e-03
3.357919922e+02	1.432644931e-04	3.358754883e+02	1.999114174e-03
3.359001465e+02	5.041985773e-03	3.359840698e+02	7.242299616e-03
3.360083313e+02	-1.095280168e-03	3.360926819e+02	5.769898184e-03
3.361164856e+02	1.843952574e-03	3.362012939e+02	4.764355719e-03
3.362246704e+02	5.245328881e-03	3.363099060e+02	3.327866783e-03
3.363328552e+02	2.712782472e-03	3.364185181e+02	6.775440648e-03
3.364410400e+02	-2.592625096e-03	3.365271606e+02	2.106850967e-03
3.365492249e+02	3.137954511e-03	3.366358032e+02	4.117935896e-03
3.366574402e+02	3.359783441e-03	3.367444458e+02	6.129020825e-03
3.367656555e+02	3.914355766e-03	3.368530884e+02	5.769898184e-03
3.368738708e+02	9.936084971e-04	3.369617310e+02	3.884506179e-03
3.369820862e+02	-5.776793696e-04	3.370704041e+02	2.807139419e-03
3.370903015e+02	5.762929562e-03	3.371790771e+02	-3.531369439e-04
3.371985474e+02	4.598327912e-03	3.372877502e+02	9.792068042e-03
3.373067932e+02	4.284070339e-03	3.373964233e+02	2.178675262e-03
3.374150391e+02	3.064011456e-03	3.375050964e+02	5.123478360e-03
