Wellenlänge 1	Intensität 1	Wellenlänge 2	Intensität 2
3.214651794e+02	-5.877186079e-03	3.214895935e+02	1.711121411e-03
3.215724487e+02	-3.380845999e-03	3.215973206e+02	4.872878548e-03
3.216797485e+02	-3.269897541e-03	3.217050476e+02	5.357920658e-03
3.217870483e+02	8.731027134e-03	3.218128052e+02	8.214280941e-03
3.218943481e+02	6.345635280e-03	3.219205627e+02	5.196239799e-03
3.220016785e+02	1.139379013e-02	3.220283203e+02	-1.594351954e-03
3.221089783e+02	1.981662586e-03	3.221360779e+02	7.351983339e-03
3.222163086e+02	6.937360391e-03	3.222438354e+02	1.766362227e-02
3.223236389e+02	5.439556204e-03	3.223516235e+02	3.561467864e-03
3.224309692e+02	3.128129989e-03	3.224594116e+02	9.543656372e-03
3.225383301e+02	7.196240127e-03	3.225671997e+02	6.220218260e-03
3.226456909e+02	-6.394945551e-03	3.226750183e+02	6.938799284e-03
3.227530518e+02	-6.339471322e-03	3.227828064e+02	7.657380309e-03
3.228604126e+02	8.860467002e-03	3.228906250e+02	-9.835580131e-04
3.229677734e+02	2.332999371e-03	3.229984436e+02	8.663394488e-03
3.230751648e+02	7.584559731e-03	3.231062622e+02	1.122783069e-04
3.231825256e+02	3.359272669e-04	3.232141113e+02	4.333942663e-03
3.232899170e+02	-3.417828819e-03	3.233219299e+02	6.795083173e-03
3.233973389e+02	-3.852376831e-04	3.234297791e+02	2.268021693e-03
3.235047302e+02	3.460975364e-03	3.235376282e+02	1.765014953e-03
3.236121521e+02	2.259033732e-03	3.236455078e+02	9.399940260e-03
3.237195740e+02	7.510594092e-03	3.237533569e+02	3.507574322e-03
3.238269958e+02	1.157870423e-02	3.238612366e+02	9.040649049e-03
3.239344177e+02	6.770937704e-03	3.239691162e+02	3.417751752e-03
3.240418701e+02	1.019184850e-02	3.240769958e+02	5.142346490e-03
3.241492920e+02	3.239078447e-03	3.241848755e+02	2.429702552e-03
